Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,WhiteTitle,BlackTitle,moves_line,tag_line
Rated Bullet tournament https://lichess.org/tournament/rs53Xpda,https://lichess.org/Xa3soL0G,2018.09.30,-,YessidP,pushka_1995,1-0,2018.09.30,22:00:08,1607,1574,10,-11,D05,Colle System,60+0,Time forfeit,,,19,1
Rated Bullet game,https://lichess.org/oYMqpagH,2018.09.30,-,zulike2004,Vengge,0-1,2018.09.30,22:00:08,1781,1893,-7,9,A03,Bird Opening: Dutch Variation,120+0,Normal,,,39,21
Rated Blitz game,https://lichess.org/tXAI8DAF,2018.09.30,-,Maumar2,irman1010,0-1,2018.09.30,22:00:08,1374,1375,-10,10,D06,Queen's Gambit Refused: Marshall Defense,180+0,Normal,,,59,41
Rated Blitz game,https://lichess.org/oYRbv9Hm,2018.09.30,-,RIPPER007,chess_wey,0-1,2018.09.30,22:00:08,1641,1663,-10,9,B44,Sicilian Defense: Paulsen Variation,180+0,Time forfeit,,,79,61
Rated Blitz game,https://lichess.org/gZDgHhTr,2018.09.30,-,Putatalho,caspernix,0-1,2018.09.30,22:00:08,1959,1974,-10,10,D10,Slav Defense #2,180+0,Time forfeit,,,99,81
Rated Blitz game,https://lichess.org/2TrUvPFl,2018.09.30,-,Revealchess,oldclown,1-0,2018.09.30,22:00:08,1616,1612,10,-10,A43,Old Benoni Defense #2,180+0,Time forfeit,,,119,101
Rated Blitz game,https://lichess.org/1PVmIgZn,2018.09.30,-,Redbull22,chessfort,0-1,2018.09.30,22:00:08,2251,2266,-10,11,B01,Scandinavian Defense: Modern Variation #2,180+0,Normal,,,139,121
Rated Blitz game,https://lichess.org/0zRqQX25,2018.09.30,-,zoom9,jteles,0-1,2018.09.30,22:00:08,1584,1589,-10,10,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",180+0,Normal,,,159,141
Rated Blitz game,https://lichess.org/0yMXu34o,2018.09.30,-,wuju,zifmia,0-1,2018.09.30,22:00:08,1819,1837,-10,9,D00,Queen's Pawn Game: Levitsky Attack,180+0,Time forfeit,,,179,161
Rated Blitz game,https://lichess.org/lk3dzqXV,2018.09.30,-,MeisterLuetz,jedissson,0-1,2018.09.30,22:00:08,2062,1958,-13,14,A01,Nimzo-Larsen Attack: Symmetrical Variation,180+0,Time forfeit,,,199,181
Rated Blitz game,https://lichess.org/ONftrxPj,2018.09.30,-,em17,playboymacc,1-0,2018.09.30,22:00:08,1236,1340,13,-14,C42,Russian Game: Three Knights Game,180+0,Normal,,,219,201
Rated Blitz game,https://lichess.org/2tVLUYPC,2018.09.30,-,sany9696,Gormis,1-0,2018.09.30,22:00:08,1847,1892,11,-12,D20,Queen's Gambit Accepted: Old Variation,180+0,Time forfeit,,,239,221
Rated Blitz game,https://lichess.org/9lnf3fMl,2018.09.30,-,AlbertoNeris,Ashtii,1-0,2018.09.30,22:00:08,1812,1776,10,-9,B00,St. George Defense,180+0,Normal,,,259,241
Rated Bullet game,https://lichess.org/YmPf7d0c,2018.09.30,-,andmirrors,momanonnone,0-1,2018.09.30,22:00:09,1876,2091,-5,5,B10,Caro-Kann Defense,30+0,Normal,,,279,261
Rated Blitz game,https://lichess.org/vUUqx1jj,2018.09.30,-,drkapablanka2,freshnlow,1-0,2018.09.30,22:00:09,1582,1674,14,-13,C02,French Defense: Advance Variation #3,180+0,Normal,,,299,281
Rated Blitz game,https://lichess.org/rtxXDL0C,2018.09.30,-,thisweekthis,Horse_Move,1-0,2018.09.30,22:00:11,1861,1619,5,-4,B00,St. George Defense,300+0,Time forfeit,,,319,301
Rated Bullet game,https://lichess.org/4ZrtGpzL,2018.09.30,-,SolaGracia,NestorIda,0-1,2018.09.30,22:00:11,1698,1601,-13,13,A40,English Defense #2,60+0,Time forfeit,,,339,321
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/1X5WKEcw,2018.09.30,-,boubou22,oceannn7,1-0,2018.09.30,22:00:11,1635,1635,12,-12,C30,"King's Gambit Declined, Queen's Knight Defense",300+0,Time forfeit,,,359,341
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/zys5rIiv,2018.09.30,-,derquinov,lukrecja,0-1,2018.09.30,22:00:11,1656,1757,-8,8,B01,Scandinavian Defense: Modern Variation,300+0,Normal,,,379,361
Rated Blitz tournament https://lichess.org/tournament/OxfQc7pb,https://lichess.org/gDqSeZqa,2018.09.30,-,Gaspix,rockofstrength,1-0,2018.09.30,22:00:11,1960,1676,4,-4,A10,English Opening: Great Snake Variation,180+0,Normal,,,399,381
Rated Bullet tournament https://lichess.org/tournament/rs53Xpda,https://lichess.org/NaPtjbza,2018.09.30,-,WhyNoGm,Ayopublic,1-0,2018.09.30,22:00:11,1664,1596,9,-13,A04,Zukertort Opening: Pirc Invitation,60+0,Time forfeit,,,419,401
Rated Bullet game,https://lichess.org/Q5hOlUTw,2018.09.30,-,kokinho,jj1987,1-0,2018.09.30,22:00:11,2030,1992,26,-9,C10,French Defense: Rubinstein Variation,60+0,Time forfeit,,,439,421
Rated Blitz game,https://lichess.org/H1DjlehD,2018.09.30,-,MACHETAZO,bobo92,1-0,2018.09.30,22:00:13,1781,1669,7,-7,B30,Sicilian Defense: Old Sicilian,180+0,Normal,,,459,441
Rated Rapid game,https://lichess.org/Q5wlBOt3,2018.09.30,-,joseesosam,aliahmadi89,0-1,2018.09.30,22:00:13,1070,919,-14,52,C00,French Defense: Knight Variation,600+0,Normal,,,479,461
Rated Rapid game,https://lichess.org/mPhEK7yW,2018.09.30,-,rochris,Vagouras,1-0,2018.09.30,22:00:13,1523,1527,21,-11,C44,Scotch Game,600+0,Normal,,,499,481
Rated Rapid game,https://lichess.org/oxqZoPEc,2018.09.30,-,leo2105,Diegomart,1-0,2018.09.30,22:00:13,1500,1500,7,-175,C40,King's Pawn Game: Damiano Defense,600+0,Time forfeit,,,519,501
Rated Rapid game,https://lichess.org/6AdgfTIM,2018.09.30,-,robertlemalin,bydcollin,1-0,2018.09.30,22:00:13,1420,1410,10,-10,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",600+0,Time forfeit,,,539,521
Rated Rapid game,https://lichess.org/UTsDBRti,2018.09.30,-,ivobb,BlackPoison,1-0,2018.09.30,22:00:13,1226,1218,11,-17,C40,Elephant Gambit: Paulsen Countergambit,600+0,Normal,,,559,541
Rated Rapid game,https://lichess.org/fAr31RWf,2018.09.30,-,ganeshtsk,anubhavdawer,1-0,2018.09.30,22:00:13,1592,1536,9,-9,A00,Hungarian Opening: Sicilian Invitation,600+0,Normal,,,579,561
Rated Rapid game,https://lichess.org/iGn3UquI,2018.09.30,-,Maximewolf,DARTAGNAN1414,0-1,2018.09.30,22:00:13,1655,1675,-10,10,D02,Queen's Pawn Game: Anti-Torre,600+0,Normal,,,599,581
Rated Rapid game,https://lichess.org/O6bFp6hs,2018.09.30,-,AlexRose,dideilci,0-1,2018.09.30,22:00:13,1139,1158,-10,10,B01,Scandinavian Defense,600+0,Normal,,,619,601
Rated Bullet game,https://lichess.org/EyZMfDR2,2018.09.30,-,DirtySilver,congeja,1-0,2018.09.30,22:00:13,1496,1599,14,-13,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",60+0,Normal,,,639,621
Rated Bullet game,https://lichess.org/bFnSVV95,2018.09.30,-,case963,KrzysztofG,1-0,2018.09.30,22:00:13,1243,1227,10,-10,B10,Caro-Kann Defense: Two Knights Attack,60+0,Normal,,,659,641
Rated Bullet game,https://lichess.org/RAa9RP7z,2018.09.30,-,kirito18,l0xp,1/2-1/2,2018.09.30,22:00:13,1828,1805,-1,1,A04,Zukertort Opening: Speelsmet Gambit,60+0,Time forfeit,,,679,661
Rated Bullet game,https://lichess.org/sFjLQq9j,2018.09.30,-,joshdube,Davidsti1,0-1,2018.09.30,22:00:13,1706,1705,-10,10,A06,Zukertort Opening: Tennison Gambit,60+0,Normal,,,699,681
Rated Bullet game,https://lichess.org/a6Fut2lC,2018.09.30,-,Russiabah,pianista2018,0-1,2018.09.30,22:00:13,1541,1555,-10,10,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",60+0,Time forfeit,,,719,701
Rated Bullet game,https://lichess.org/t5BgyMzJ,2018.09.30,-,shyonfire,rato23,1/2-1/2,2018.09.30,22:00:13,2069,2051,-1,1,C40,Elephant Gambit,60+0,Time forfeit,,,739,721
Rated Bullet game,https://lichess.org/NAU4rpI0,2018.09.30,-,schu007,VictorAlencar,1-0,2018.09.30,22:00:13,1020,922,8,-7,A43,Benoni Defense: Old Benoni,60+0,Time forfeit,,,759,741
Rated Bullet game,https://lichess.org/BII1pt2F,2018.09.30,-,omranlm,oneofalone,1-0,2018.09.30,22:00:13,1105,1176,13,-13,A01,Nimzo-Larsen Attack: English Variation,60+0,Time forfeit,,,779,761
Rated Bullet game,https://lichess.org/IhwxefAm,2018.09.30,-,mbkonacoglu,ManuelMagnifico,0-1,2018.09.30,22:00:13,1895,1950,-9,9,C30,"King's Gambit Declined, Queen's Knight Defense",60+0,Time forfeit,,,799,781
Rated Bullet game,https://lichess.org/iwcy3C8B,2018.09.30,-,BBWolfBB,Ozhera,1/2-1/2,2018.09.30,22:00:13,1314,1287,-1,1,C20,King's Pawn Game: Leonardis Variation,60+0,Time forfeit,,,819,801
Rated Bullet game,https://lichess.org/WEpE6H7d,2018.09.30,-,TOBIM86,KenanMika,1-0,2018.09.30,22:00:13,1157,1270,13,-14,D00,Queen's Pawn Game #3,120+1,Normal,,,839,821
Rated Bullet game,https://lichess.org/dnGwJE04,2018.09.30,-,Vipos964,poidude,0-1,2018.09.30,22:00:13,1714,1630,-12,13,B10,Caro-Kann Defense,120+1,Normal,,,859,841
Rated Bullet game,https://lichess.org/Xc9Rtpfu,2018.09.30,-,nfelix17,Meoutooo,0-1,2018.09.30,22:00:13,1332,1285,-12,11,C00,French Defense #2,120+1,Time forfeit,,,879,861
Rated Bullet game,https://lichess.org/5KLIZIGS,2018.09.30,-,renjesneg,seriadh,1-0,2018.09.30,22:00:13,1137,1103,9,-10,D06,Queen's Gambit Refused: Austrian Defense,120+1,Normal,,,899,881
Rated Bullet game,https://lichess.org/DTrR1CMJ,2018.09.30,-,nivra,waynivan,1-0,2018.09.30,22:00:13,1398,1531,14,-14,A40,Modern Defense,120+1,Normal,,,919,901
Rated Bullet game,https://lichess.org/gyi79BsW,2018.09.30,-,Lumajo75,P0lydamas,0-1,2018.09.30,22:00:13,1984,2245,-4,4,D01,Richter-Veresov Attack,120+1,Normal,,,939,921
Rated Bullet game,https://lichess.org/gpqfCL4d,2018.09.30,-,LittleWinky,sankaku,1-0,2018.09.30,22:00:13,1734,1533,5,-7,A40,Englund Gambit,120+0,Time forfeit,,,959,941
Rated UltraBullet game,https://lichess.org/K5fFuyvv,2018.09.30,-,BlackMyth,zuninjo,1-0,2018.09.30,22:00:13,1625,1483,8,-21,A00,Mieses Opening,15+0,Time forfeit,,,979,961
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/TEOP40LQ,2018.09.30,-,function_mvp,ennouri_ossama,1-0,2018.09.30,22:00:14,1492,1919,22,-23,C50,"Italian Game: Giuoco Pianissimo, Normal",300+0,Time forfeit,,,999,981
Rated Blitz tournament https://lichess.org/tournament/8OcmxoCa,https://lichess.org/L1IWvKZ9,2018.09.30,-,tomasgoday,aemrehan,0-1,2018.09.30,22:00:14,1087,1424,-3,3,B44,Sicilian Defense: Paulsen Variation,300+0,Normal,,,1019,1001
Rated Blitz tournament https://lichess.org/tournament/OxfQc7pb,https://lichess.org/eIn3KP9W,2018.09.30,-,gusish,dito-farhad,0-1,2018.09.30,22:00:14,1364,1645,-4,4,E90,"King's Indian Defense: Normal Variation, Rare Defenses",180+0,Normal,,,1039,1021
Rated Blitz tournament https://lichess.org/tournament/OxfQc7pb,https://lichess.org/AXE9MLAQ,2018.09.30,-,OldSkoolFuture,glegv59,0-1,2018.09.30,22:00:14,1857,1805,-15,14,C50,"Italian Game: Giuoco Pianissimo, Canal Variation",180+0,Normal,,,1059,1041
Rated Bullet tournament https://lichess.org/tournament/lpXNuUWV,https://lichess.org/zWImGOEg,2018.09.30,-,KingDayVid,vakiraoka,0-1,2018.09.30,22:00:14,1258,1787,-1,1,B20,Sicilian Defense: Bowdler Attack,60+0,Time forfeit,,,1079,1061
Rated Bullet game,https://lichess.org/mJCLrHgM,2018.09.30,-,ytnom,makkay79,0-1,2018.09.30,22:00:14,1490,1536,-9,10,B06,Modern Defense,60+0,Normal,,,1099,1081
Rated Blitz game,https://lichess.org/vmtRBJWG,2018.09.30,-,bauernopfer1,mohay1,1-0,2018.09.30,22:00:15,1634,1576,9,-9,A04,Zukertort Opening: Sicilian Invitation,300+0,Time forfeit,,,1119,1101
Rated Blitz game,https://lichess.org/gld0GkCq,2018.09.30,-,caysaati,Josse10manuel,1-0,2018.09.30,22:00:15,1672,1641,10,-9,B00,"Nimzowitsch Defense, Declined Variation",300+0,Normal,,,1139,1121
Rated Blitz game,https://lichess.org/ambczNAn,2018.09.30,-,cjmahon,Cuellarov,0-1,2018.09.30,22:00:15,1782,1884,-8,7,D85,GrÃ¼nfeld Defense: Exchange Variation,300+0,Normal,,,1159,1141
Rated Blitz game,https://lichess.org/qyVjiqdF,2018.09.30,-,emafinzi,ROD1969,1-0,2018.09.30,22:00:15,1987,1891,8,-8,A40,Mikenas Defense: Lithuanian Variation,300+0,Normal,,,1179,1161
Rated Blitz game,https://lichess.org/kyBf6uM3,2018.09.30,-,TheGrimmBrother3,kNyne,1-0,2018.09.30,22:00:15,911,1044,14,-14,B23,Sicilian Defense: Closed,300+0,Normal,,,1199,1181
Rated Blitz game,https://lichess.org/VDpsK2PA,2018.09.30,-,Aries2004,smirkyerk,0-1,2018.09.30,22:00:15,1746,1747,-10,10,A21,"English Opening: King's English Variation, Reversed Sicilian",300+0,Normal,,,1219,1201
Rated Blitz game,https://lichess.org/aNg6jZ0c,2018.09.30,-,Missara,Fpnilton,1/2-1/2,2018.09.30,22:00:15,1374,1392,1,-1,C34,"King's Gambit Accepted, King's Knight Gambit",300+0,Normal,,,1239,1221
Rated Blitz game,https://lichess.org/cpoHT3tm,2018.09.30,-,MANONC,Rafcinek,0-1,2018.09.30,22:00:15,1472,1461,-11,10,A00,Van't Kruijs Opening,300+0,Normal,,,1259,1241
Rated Blitz game,https://lichess.org/27FfEp34,2018.09.30,-,ILikeMarshmallows,razeto,1-0,2018.09.30,22:00:15,901,888,14,-11,C40,King's Pawn Game: Damiano Defense,300+0,Time forfeit,,,1279,1261
Rated Blitz game,https://lichess.org/JD17R70Q,2018.09.30,-,Marcetkd,mojtaba_Rasht,1-0,2018.09.30,22:00:15,1297,1298,10,-10,C20,King's Pawn Game: Napoleon Attack,300+0,Time forfeit,,,1299,1281
Rated Blitz game,https://lichess.org/PhcDeoBb,2018.09.30,-,franlo,matelli,1-0,2018.09.30,22:00:15,1624,1773,15,-14,B50,Sicilian Defense,300+0,Normal,,,1319,1301
Rated Blitz game,https://lichess.org/EVEapNCU,2018.09.30,-,miltonrey,pepepan2,1/2-1/2,2018.09.30,22:00:16,1852,1855,0,0,C45,Scotch Game,180+5,Normal,,,1339,1321
Rated Blitz game,https://lichess.org/yeTdwcvL,2018.09.30,-,adrianesdeboca,gregory1,0-1,2018.09.30,22:00:16,1375,1432,-9,8,C00,French Defense: Knight Variation,300+0,Normal,,,1359,1341
Rated Blitz game,https://lichess.org/PaOqYldX,2018.09.30,-,Mauryzyo,daan1982,1-0,2018.09.30,22:00:16,1662,1525,37,-6,C21,"Center Game: Lanc-Arnold Gambit, Schippler Gambit",120+5,Normal,,,1379,1361
Rated Bullet game,https://lichess.org/6yhM1xZb,2018.09.30,-,StaticKnight,Reptiliano64,1-0,2018.09.30,22:00:17,1859,1454,3,-39,D21,Queen's Gambit Accepted: Rosenthal Variation,0+1,Normal,,,1399,1381
Rated Blitz game,https://lichess.org/bB5X8OIY,2018.09.30,-,rorique_komet,Edw_Mendoza,0-1,2018.09.30,22:00:18,1818,2126,-3,4,B06,Robatsch (Modern) Defense,180+0,Time forfeit,,,1419,1401
Rated Blitz game,https://lichess.org/W7MYGohN,2018.09.30,-,OffsetAlien,Quasar_23,0-1,2018.09.30,22:00:18,1941,1979,-19,9,C45,"Scotch Game: Classical Variation, Intermezzo Variation",180+0,Time forfeit,,,1439,1421
Rated Blitz game,https://lichess.org/JmE4JYYG,2018.09.30,-,chessnextworkk,PennyWise86,1-0,2018.09.30,22:00:18,1881,1898,14,-11,C45,Scotch Game,180+0,Normal,,,1459,1441
Rated Blitz game,https://lichess.org/T51SXLSD,2018.09.30,-,Qssis,Mikailsant,1/2-1/2,2018.09.30,22:00:18,1727,1718,0,1,C28,"Vienna Game: Stanley Variation, Three Knights Variation",180+0,Normal,,,1479,1461
Rated Blitz game,https://lichess.org/oRA6Dyq2,2018.09.30,-,ELOquentest,ikinciturev,1-0,2018.09.30,22:00:18,1550,1537,10,-10,A01,Nimzo-Larsen Attack: Classical Variation,180+0,Time forfeit,,,1499,1481
Rated Blitz game,https://lichess.org/EEMw8IJG,2018.09.30,-,Cavolinho,douiche,1-0,2018.09.30,22:00:18,2280,2057,4,-6,B90,"Sicilian Defense: Najdorf Variation, English Attack",180+0,Time forfeit,,,1519,1501
Rated Blitz game,https://lichess.org/R7v0kas1,2018.09.30,-,Peterovski,serj68,0-1,2018.09.30,22:00:18,1805,1751,-12,8,C41,Philidor Defense #3,180+0,Time forfeit,,,1539,1521
Rated Blitz game,https://lichess.org/hgjgDrEj,2018.09.30,-,alfilsupremo,acbx33,1-0,2018.09.30,22:00:18,1395,1385,10,-10,C02,"French Defense: Advance Variation, Nimzowitsch System",180+0,Normal,,,1559,1541
Rated Blitz game,https://lichess.org/rtBspl5N,2018.09.30,-,neuma3,SirThinkssAlot,0-1,2018.09.30,22:00:18,1844,1870,-9,10,D35,Queen's Gambit Declined: Normal Defense,180+0,Normal,,,1579,1561
Rated Blitz game,https://lichess.org/5hD7Svfx,2018.09.30,-,Work2mevdjsd,miguel-sc,0-1,2018.09.30,22:00:18,1597,1604,-9,10,D00,Queen's Pawn Game #3,180+0,Time forfeit,,,1599,1581
Rated Blitz game,https://lichess.org/3CJtKKJB,2018.09.30,-,SlimWilliam,Sudaka,1-0,2018.09.30,22:00:18,2261,2030,4,-5,A90,Dutch Defense: Nimzo-Dutch Variation,180+0,Normal,,,1619,1601
Rated Blitz game,https://lichess.org/zc3bYtFa,2018.09.30,-,Orkhan_selimov,batiga,1-0,2018.09.30,22:00:18,1353,1345,12,-10,C23,Bishop's Opening,180+0,Normal,,,1639,1621
Rated Blitz game,https://lichess.org/uJJ4RyOd,2018.09.30,-,reivaxavier,jlfs,1-0,2018.09.30,22:00:18,1691,1691,11,-10,C30,King's Gambit,180+0,Time forfeit,,,1659,1641
Rated Blitz game,https://lichess.org/WQTFOb25,2018.09.30,-,Ethan_Saya2,TI-31,0-1,2018.09.30,22:00:18,2139,2135,-11,10,B19,"Caro-Kann Defense: Classical, Spassky Variation",180+0,Time forfeit,,,1679,1661
Rated Blitz game,https://lichess.org/JKUiRPkz,2018.09.30,-,valdemar23,DeporS1337,0-1,2018.09.30,22:00:18,1259,1298,-10,9,B21,Sicilian Defense: Smith-Morra Gambit #2,180+0,Normal,,,1699,1681
Rated Bullet game,https://lichess.org/YScJQqQh,2018.09.30,-,sumdumgoy,Fazelgold,0-1,2018.09.30,22:00:18,1714,1953,-4,5,A40,Mikenas Defense,120+0,Normal,,,1719,1701
Rated Blitz game,https://lichess.org/OUAqQZTk,2018.09.30,-,burgundus,Naldo,0-1,2018.09.30,22:00:18,1408,1036,-20,47,B20,Sicilian Defense,420+1,Normal,,,1739,1721
Rated Bullet game,https://lichess.org/136Rspv3,2018.09.30,-,julia-14,kratoshivil,0-1,2018.09.30,22:00:19,1602,1802,-5,5,D00,Queen's Pawn Game #2,60+1,Time forfeit,,,1759,1741
Rated Rapid game,https://lichess.org/fdkgiDjT,2018.09.30,-,man131,joaoraimundo,1-0,2018.09.30,22:00:19,1617,1241,3,-3,C23,Bishop's Opening,300+8,Normal,,,1779,1761
Rated Blitz game,https://lichess.org/B6CyicoW,2018.09.30,-,Danna23,d0min4t3,0-1,2018.09.30,22:00:19,1613,1649,-10,9,C41,Philidor Defense #2,180+2,Normal,,,1799,1781
Rated Bullet game,https://lichess.org/zEvIaZmW,2018.09.30,-,NAMTEKRAM,krechela,1-0,2018.09.30,22:00:20,1068,1056,10,-11,B00,Nimzowitsch Defense,60+0,Normal,,,1819,1801
Rated Bullet game,https://lichess.org/7ZsG2hUc,2018.09.30,-,aljehincg,MrPoodge,1-0,2018.09.30,22:00:20,1763,1820,11,-12,A00,Hungarian Opening: Catalan Formation,60+0,Time forfeit,,,1839,1821
Rated Bullet game,https://lichess.org/YGllfo4Y,2018.09.30,-,soifam,LeBardefeld,0-1,2018.09.30,22:00:20,1453,1503,-9,9,B10,Caro-Kann Defense,60+0,Normal,,,1859,1841
Rated Bullet game,https://lichess.org/5dYnUxDj,2018.09.30,-,dithyramble,PapaFreyre,0-1,2018.09.30,22:00:20,1083,1116,-10,10,C45,Scotch Game,60+0,Normal,,,1879,1861
Rated Bullet game,https://lichess.org/dR8BUcwW,2018.09.30,-,Veiso,thecake55,0-1,2018.09.30,22:00:20,2258,2186,-13,14,A17,"English Opening: Anglo-Indian Defense, Hedgehog System",60+0,Normal,FM,,1900,1881
Rated Bullet game,https://lichess.org/JWR5VnUA,2018.09.30,-,omar29,knedlik,1-0,2018.09.30,22:00:20,1579,1640,12,-12,B00,Nimzowitsch Defense: Kennedy Variation,60+0,Time forfeit,,,1920,1902
Rated Bullet game,https://lichess.org/3TvpEbQd,2018.09.30,-,FrancescXPM,chessbabes,0-1,2018.09.30,22:00:20,1566,1515,-11,12,D05,Colle System: Traditional Colle,60+0,Normal,,,1940,1922
Rated Bullet game,https://lichess.org/s9hqFM6o,2018.09.30,-,mrrekter,WastedKnight,0-1,2018.09.30,22:00:20,1862,2003,-6,6,A00,Hungarian Opening: Slav Formation,60+0,Normal,,,1960,1942
Rated Bullet game,https://lichess.org/th3Xgom9,2018.09.30,-,francis9,chessteroid,1-0,2018.09.30,22:00:20,1679,1723,11,-11,A00,Hungarian Opening: Indian Defense,60+0,Normal,,,1980,1962
Rated Bullet game,https://lichess.org/4Hdz0Sdo,2018.09.30,-,reyoBonurB,randja,0-1,2018.09.30,22:00:20,1337,1391,-8,9,A00,Hungarian Opening: Slav Formation,60+0,Normal,,,2000,1982
Rated Blitz game,https://lichess.org/vseVHHRw,2018.09.30,-,Cholwezovich,takethempawns,1-0,2018.09.30,22:00:01,2002,1894,7,-8,C01,French Defense: Exchange Variation,180+0,Normal,,,2020,2002
Rated Bullet game,https://lichess.org/dj7H3pyx,2018.09.30,-,Praizess,vampiHorror,1-0,2018.09.30,22:00:01,1984,1943,9,-9,A43,Old Benoni Defense,60+0,Normal,,,2040,2022
Rated Blitz game,https://lichess.org/6rFAcUUz,2018.09.30,-,erfan-eahsan,powerpanda,1-0,2018.09.30,22:00:02,2050,2133,13,-13,C41,Philidor Defense #3,180+0,Normal,,,2060,2042
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/j6h74gsa,2018.09.30,-,MonsieurPieuvre,boreknown,1-0,2018.09.30,22:00:02,1755,1733,10,-11,B00,King's Pawn,300+0,Abandoned,,,2080,2062
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/MZXwOo3u,2018.09.30,-,alpar1003,Gyulamiryan_Koryun,1-0,2018.09.30,22:00:02,1907,1895,11,-11,E60,"King's Indian Defense: Normal Variation, King's Knight Variation",300+0,Normal,,,2100,2082
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/6iFzDfI2,2018.09.30,-,Guarani,zweemaster,0-1,2018.09.30,22:00:02,1772,1776,-12,11,B20,Sicilian Defense,300+0,Normal,,,2120,2102
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/gQSqnCVX,2018.09.30,-,cjohans,diat,1-0,2018.09.30,22:00:02,1882,1855,11,-10,A40,Horwitz Defense,300+0,Normal,,,2140,2122
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/nB6lEGbH,2018.09.30,-,Mohammad-Allaw,Rangeor,1-0,2018.09.30,22:00:02,1645,1672,14,-13,C00,French Defense: Knight Variation,300+0,Normal,,,2160,2142
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/DQ0ARczV,2018.09.30,-,stefmaster,Lordvampires,1-0,2018.09.30,22:00:02,1639,1620,11,-12,B06,Modern Defense: Geller's System,300+0,Time forfeit,,,2180,2162
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/eLDXoN3A,2018.09.30,-,Palito2015,mhdenchess,1-0,2018.09.30,22:00:02,1769,1762,11,-10,B32,Sicilian Defense: Godiva Variation,300+0,Normal,,,2200,2182
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/0JL3DHVM,2018.09.30,-,chingori,OverlordPeter,0-1,2018.09.30,22:00:02,1540,1518,-11,12,C01,"French Defense: Exchange Variation, Monte Carlo Variation",300+0,Time forfeit,,,2220,2202
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/egKecGmu,2018.09.30,-,mirni332,Buja64,0-1,2018.09.30,22:00:02,1837,1831,-12,13,C02,"French Defense: Advance Variation, Paulsen Attack",300+0,Time forfeit,,,2240,2222
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/X2AQPFLd,2018.09.30,-,Yonatan_salguero,BISMARR,0-1,2018.09.30,22:00:02,1178,1395,-6,6,B20,Sicilian Defense,300+0,Normal,,,2260,2242
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/arcMuJVX,2018.09.30,-,vocaltist,Poole,1-0,2018.09.30,22:00:02,1561,1605,13,-13,B01,Scandinavian Defense: Icelandic-Palme Gambit,300+0,Time forfeit,,,2280,2262
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/oDEI8PyC,2018.09.30,-,doktor55,noelnz,0-1,2018.09.30,22:00:02,2054,2021,-11,14,B44,Sicilian Defense: Paulsen Variation,300+0,Normal,,,2300,2282
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/lMFR0VCh,2018.09.30,-,aratorn,arjan1967,0-1,2018.09.30,22:00:02,1476,1492,-11,11,A40,Englund Gambit Complex: Englund Gambit,300+0,Normal,,,2320,2302
Rated Blitz tournament https://lichess.org/tournament/8OcmxoCa,https://lichess.org/0IVyadtk,2018.09.30,-,ARfis,VulpesCorvum,1-0,2018.09.30,22:00:02,1415,1414,11,-11,A10,English Opening: Great Snake Variation,300+0,Normal,,,2340,2322
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/V5N4qCl7,2018.09.30,-,chrysaetos,frundenyjengen,1/2-1/2,2018.09.30,22:00:02,1910,1984,2,-3,D20,Queen's Gambit Accepted: Old Variation,300+0,Normal,,,2360,2342
Rated Blitz tournament https://lichess.org/tournament/8OcmxoCa,https://lichess.org/LJBy0zgz,2018.09.30,-,Mentalout,schwarzesakura,0-1,2018.09.30,22:00:02,1410,1405,-11,11,C50,Giuoco Piano,300+0,Normal,,,2380,2362
